,number_of_incidents,code,year,month
1112,4,01d,2014,07
1113,7,01d,2014,08
1114,7,01d,2014,09
1115,7,01d,2014,10
1116,19,01d,2014,11
1117,3,01d,2014,12
1118,7,01d,2015,01
1119,15,01d,2015,02
1120,11,01d,2015,03
1121,7,01d,2015,04
1122,9,01d,2015,05
1123,3,01d,2015,06
1124,11,01d,2015,07
1125,3,01d,2015,08
1126,7,01d,2015,09
1127,10,01d,2015,10
1128,12,01d,2015,11
1129,20,01d,2015,12
1130,10,01d,2016,01
1131,9,01d,2016,02
1132,10,01d,2016,03
1133,3,01d,2016,04
1134,2,01d,2016,05
1135,7,01d,2016,06
1136,2,01d,2016,07
1137,4,01d,2016,09
1138,4,01d,2016,10
1139,3,01d,2016,11
1140,12,01d,2016,12
1141,5,01d,2017,01
1142,5,01d,2017,02
1143,5,01e,2005,04
1144,2,01e,2005,05
1145,3,01e,2005,06
